id,name,rfc,industry,size,website,phone,address,city,state,country,geo_lat,geo_lng,source,source_url,created_at,updated_at
1,Despacho Contable Gutiérrez y Asociados,,contabilidad,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
2,Consultoría Fiscal Hernández SC,,contabilidad,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
3,Contadores Públicos Martínez y Cía,,contabilidad,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
4,Asesoría Empresarial Integral MX,,consultoría,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
5,Grupo Contable López y Asociados,,contabilidad,,,,,Monterrey,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
6,Despacho Jurídico-Contable Rodríguez,,contabilidad,,,,,Monterrey,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
7,Facturación Electrónica Total MX,,facturación,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
8,CFDI Express Solutions,,facturación,,,,,Guadalajara,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
9,Despacho de Contabilidad Digital,,contabilidad,,,,,Guadalajara,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
10,Software Contable y Administrativo Pro,,software,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
11,Integradora de Sistemas Fiscales,,facturación,,,,,Puebla,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
12,Consultores en Automatización de Procesos,,automatización,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
13,Despacho de Outsourcing Contable,,contabilidad,,,,,Querétaro,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
14,Plataforma de Facturación en la Nube,,facturación,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
15,Grupo de Asesoría Financiera Integral,,financiero,,,,,Monterrey,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
16,Contadores Públicos Certificados MX,,contabilidad,,,,,Tijuana,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
17,Solución de Nómina y RH Automatizada,,rrhh,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
18,Despacho Virtual de Contabilidad,,contabilidad,,,,,León,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
19,Consultoría en Transformación Digital,,consultoría,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
20,Sistema de Gestión Empresarial ERP MX,,software,,,,,Guadalajara,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
21,Outsourcing de Facturación Electrónica,,facturación,,,,,Puebla,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
22,Despacho Contable San Pedro,,contabilidad,,,,,Monterrey,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
23,Automatización de Facturas y Cobranza,,facturación,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
24,Grupo Empresarial de Servicios Fiscales,,contabilidad,,,,,Mérida,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
25,Tecnología Aplicada a la Contabilidad,,software,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
26,Despacho de Auditoría y Consultoría,,auditoría,,,,,San Luis Potosí,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
27,CFDI y Facturación para PyMEs,,facturación,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
28,Contadores Públicos Asociados del Norte,,contabilidad,,,,,Chihuahua,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
29,Despacho de Asesoría Fiscal Integral,,contabilidad,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
30,Plataforma de Pagos y Facturación MX,,fintech,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
31,Grupo Consultor de Negocios MX,,consultoría,,,,,Monterrey,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
32,Solución Integral de Facturación CFDI,,facturación,,,,,Guadalajara,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
33,Despacho Contable Profesional Zapopan,,contabilidad,,,,,Guadalajara,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
34,Consultoría en Cumplimiento Fiscal,,consultoría,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
35,Software de Facturación en Línea,,software,,,,,Querétaro,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
36,Despacho de Contabilidad Gubernamental,,contabilidad,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
37,Centro de Servicios Contables y Fiscales,,contabilidad,,,,,Puebla,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
38,Facturación Móvil para PyMEs MX,,facturación,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
39,Despacho de Contadores Especializados,,contabilidad,,,,,Toluca,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
40,Asesoría Contable y Financiera Empresarial,,financiero,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
41,Grupo de Automatización de Procesos MX,,automatización,,,,,Monterrey,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
