id,name,industry,city,website,phone,score,campaignReady
PROSP-0001,"Contadores Públicos Consulting",contabilidad,CDMX,,,65,true
PROSP-0002,"Inversiones Express",contabilidad,CDMX,,,65,true
PROSP-0003,"Almacenaje y Cía",contabilidad,CDMX,,,65,true
PROSP-0004,"Despacho Contable y Asociados",contabilidad,CDMX,,,65,true
PROSP-0005,"SaaS Tijuana",contabilidad,CDMX,,,65,true
PROSP-0006,"Consultores Fiscales",contabilidad,CDMX,,,65,true
PROSP-0007,"Facturación Digital",contabilidad,CDMX,,,65,true
PROSP-0008,"Consultores Fiscales Profesional",contabilidad,CDMX,,,65,true
PROSP-0009,"Distribución Asociados",contabilidad,CDMX,,,65,true
PROSP-0010,"Contaduría Hermosillo",contabilidad,CDMX,,,65,true
PROSP-0011,"Despacho Fiscal del Bajío",contabilidad,CDMX,,,65,true
PROSP-0012,"eFactura",contabilidad,CDMX,,,65,true
PROSP-0013,"Consultoría Fiscal Querétaro",contabilidad,CDMX,,,65,true
PROSP-0014,"CFDI Guadalajara",contabilidad,CDMX,,,65,true
PROSP-0015,"Open Banking",contabilidad,CDMX,,,65,true
PROSP-0016,"Servicios Fiscales Contables Solutions",contabilidad,CDMX,,,65,true
PROSP-0017,"RPA Guadalajara",contabilidad,CDMX,,,65,true
PROSP-0018,"Compliance SC",contabilidad,CDMX,,,65,true
PROSP-0019,"Contabilidad Integral del Pacífico",contabilidad,CDMX,,,65,true
PROSP-0020,"Tech Solutions Integral",contabilidad,CDMX,,,65,true
PROSP-0021,"Robotics",contabilidad,CDMX,,,65,true
PROSP-0022,"Optimización Master",contabilidad,CDMX,,,65,true
PROSP-0023,"Business Consulting del Golfo",contabilidad,CDMX,,,65,true
PROSP-0024,"Control Automático Veracruz",contabilidad,CDMX,,,65,true
PROSP-0025,"Soluciones CFDI Tijuana",contabilidad,CDMX,,,65,true
PROSP-0026,"Automa",contabilidad,CDMX,,,65,true
PROSP-0027,"Automa Veracruz",contabilidad,CDMX,,,65,true
